title,author
1984,George Orwell
This Is Not a Pipe,Michel Foucault
It,Stephen King
Lament for Ignacio Sánchez Mejías,Federico Garcí­a Lorca
Candide,Voltaire
"Capital, Volume I",Karl Marx
Politics,Aristotle
Apocalypse postponed,Umberto Eco
Timaeus,Plato
Being and Time,Martin Heidegger
Demons,Fyodor Dostoevsky
Nicomachean Ethics,Aristotle
The Mandarins,Simone de Beauvoir
Gorgias,Plato
Lectures on the Philosophy of History,Hegel
Fantastic Beasts and Where to Find Them,J.K. Rowling
Mansfield Park,Jane Austen
From the Earth to the Moon,Jules Verne
The Glass Bead Game,Hermann Hesse
Crime and Punishment,Fyodor Dostoevsky
The Mysterious Island,Jules Verne
Categories,Aristotle
What Is Philosophy?,Martin Heidegger
Metaphysics,Aristotle
The Symposium,Plato
Dialogues Concerning Natural Religion,David Hume
Misery,Stephen King
The Order of Things,Michel Foucault
The Name of the Rose,Umberto Eco
Breakfast at Tiffany's,Truman Capote
Of the Standard of Taste,David Hume
The Birth of the Clinic,Michel Foucault
Klein and Wagner,Hermann Hesse
The Sound and the Fury,William Faulkner
A Farewell to Arms,Ernest Hemingway
Foucault's Pendulum,Umberto Eco
Othello,William Shakespeare
The Reivers,William Faulkner
A Hunger Artist,Franz Kafka
In Search of Lost Time,Marcel Proust
Endless Night,Agatha Christie
God is dead,Friedrich Nietzsche
Inseparable: A Novel,Simone de Beauvoir
Harry Potter and the Chamber of Secrets,J.K. Rowling
Peter Camenzind,Hermann Hesse
In Cold Blood,Truman Capote
The Death of Ivan Ilyich,Lev Tolstoi
The Dawn of Day,Friedrich Nietzsche
Demian,Hermann Hesse
The Happy Prince,Oscar Wilde
A Midsummer's Night Dream,William Shakespeare
Physics,Aristotle
A Christmas Carol,Charles Dickens
Madness and Civilization,Michel Foucault
Passions of the Soul,RenÃ© Descartes
The Birth of Tragedy,Friedrich Nietzsche
The Antichrist,Friedrich Nietzsche
Journey to the East,Hermann Hesse
What Is Enlightenment?,Immanuel Kant
Rosshalde,Hermann Hesse
Much Ado About Nothing,William Shakespeare
Crito,Plato
Adultery,Paulo Coelho
Ur-Fascism,Umberto Eco
The Brothers Karamazov,Fyodor Dostoevsky
Moby-Dick,Herman Melville
Fahrenheit 451,Ray Bradbury
Meno,Plato
The Picture of Dorian Gray,Oscar Wilde
The Pilgrimage,Paulo Coelho
Groundwork of the Metaphysic of Morals,Immanuel Kant
The Question of Being,Martin Heidegger
Hard Times,Charles Dickens
On the Jewish Question,Karl Marx
Euthyphro,Plato
On the Genealogy of Morality,Friedrich Nietzsche
Alice's adventures in Wonderland,Lewis Carroll
Principles of Philosophy,RenÃ© Descartes
Carrie,Stephen King
What Is Called Thinking?,Martin Heidegger
The Garden of Forking Paths,Jorge Luis Borges
The Waves,Virginia Woolf
The Zahir,Paulo Coelho
Jugendgedenken,Hermann Hesse
Notes from Underground,Fyodor Dostoevsky
Great Expectations,Charles Dickens
A Tale of Two Cities,Charles Dickens
A Contribution to the Critique of Political Economy,Karl Marx
The Fugitive,Marcel Proust
The Organon,Aristotle
Critique of Judgment,Immanuel Kant
The Kreutzer Sonata,Lev Tolstoi
The Lighthouse at the End of the World,Jules Verne
Meditations on First Philosophy,RenÃ© Descartes
Rules for the Direction of the Mind,RenÃ© Descartes
Five Great Greek Tragedies,Sophocles
The Adventures of Tom Sawyer,Mark Twain
Knulp,Hermann Hesse
Sonnets of Dark Love,Federico Garcí­a Lorca
The Open Work,Umberto Eco
Allegory of the cave,Plato
The Phenomenology of Spirit,Hegel
Answered Prayers,Truman Capote
The Poverty of Philosophy,Karl Marx
On the Soul,Aristotle
Apology,Plato
Around the World in 80 Days,Jules Verne
The Valkyries,Paulo Coelho
All Fires the Fire,Julio Cortázar
Before the Law,Franz Kafka
Barn Burning,William Faulkner
The History of Sexuality,Michel Foucault
Northanger Abbey,Jane Austen
"Absalom, Absalom!",William Faulkner
A Christmas Memory,Truman Capote
The Prince and the Pauper,Mark Twain
The Miserables,Victor Hugo
War and Peace,Lev Tolstoi
The Absent Structure,Umberto Eco
The Origin of the Work of Art,Martin Heidegger
Beyond Good and Evil,Friedrich Nietzsche
Love in the Time of Cholera,Gabriel García Márquez
Harry Potter and the Philosopher's Stone,J.K. Rowling
To the Lighthouse,Virginia Woolf
Elements of the Philosophy of Right,Hegel
A Connecticut Yankee in King Arthur's Court,Mark Twain
Narcissus and Goldmund,Hermann Hesse
Religion within the Bounds of Bare Reason,Immanuel Kant
An Enquiry Concerning Human Understanding,David Hume
History of Beauty,Umberto Eco
Macbbeth,William Shakespeare
Critique of Practical Reason,Immanuel Kant
Pet Sematary,Stephen King
Of Miracles,David Hume
Chronicle of a Death Foretold,Gabriel Garcí­a Márquez
Klingsor's Last Summer,Hermann Hesse
Republic,Plato
Treatise on Tolerance,Voltaire
Hamlet,William Shakespeare
Theaetetus,Plato
The Question Concerning Technology,Martin Heidegger
Poet in New York,Federico Garcí­a Lorca
Abnormal,Michel Foucault
Thus Spoke Zarathustra,Friedrich Nietzsche
The Hunchback of Notre-Dame,Victor Hugo
Of Love and Other Demons,Gabriel García Márquez
Lectures on the Philosophy of Religion,Hegel
Steppenwolf,Hermann Hesse
The Civil War in France,Karl Marx
Harry Potter and the Half-Blood Prince,J.K. Rowling
Poor Folk,Fyodor Dostoevsky
Baudolino,Umberto Eco
The Holy Family,Karl Marx
The Archaeology of Knowledge,Michel Foucault
Cronopios and Famas,Julio Cortázar
The Judgment,Franz Kafka
Fictions,Jorge Luis Borges
A Haunted House and Other Short Stories,Virginia Woolf
Around the Moon,Jules Verne
Roughing It,Mark Twain
Beneath the Wheel,Hermann Hesse
The Tragedy of Pudd'nhead Wilson,Mark Twain
As I Lay Dying,William Faulkner
Critique of Pure Reason,Immanuel Kant
The Grapes of Wrath,John Steinbeck
The Legend of the Ages,Victor Hugo
Paris in the Twentieth Century,Jules Verne
Parmenides,Plato
Amerika,Franz Kafka
Zadig,Voltaire
The Gambler,Fyodor Dostoevsky
Harry Potter and the Order of the Phoenix,J.K. Rowling
The Tempest,William Shakespeare
Capital: Volume III,Karl Marx
